date,PX_LAST
2023-07-31,35045.7
2023-08-01,35231.2
2023-08-02,35039.7
2023-08-03,35195.3
2023-08-04,34812.4
2023-08-07,35009.8
2023-08-08,35991.1
2023-08-09,35315.0
2023-08-10,35297.0
2023-08-11,35261.1
2023-08-14,35177.4
2023-08-15,34973.9
2023-08-16,34855.4
2023-08-17,33355.4
2023-08-18,31143.9
2023-08-21,31179.5
2023-08-22,30770.4
2023-08-23,31725.0
2023-08-24,30995.7
2023-08-25,30924.6
2023-08-28,30936.4
2023-08-29,33213.1
2023-08-30,32323.8
2023-08-31,31114.3
2023-09-01,30474.0
2023-09-05,30515.5
2023-09-06,30479.9
2023-09-07,30806.0
2023-09-08,30835.6
2023-09-11,29679.5
2023-09-12,30977.9
2023-09-13,31072.8
2023-09-14,31736.8
2023-09-15,31392.9
2023-09-18,31879.1
2023-09-19,32335.6
2023-09-20,32011.4
2023-09-21,31604.6
2023-09-22,31474.9
2023-09-25,31292.2
2023-09-26,31144.8
2023-09-27,31138.9
2023-09-28,32253.1
2023-09-29,31952.4
2023-10-02,33190.4
2023-10-03,32288.5
2023-10-04,32748.3
2023-10-05,32547.8
2023-10-06,33184.5
2023-10-09,32701.1
2023-10-10,32412.3
2023-10-11,31598.7
2023-10-12,31545.6
2023-10-13,31645.9
2023-10-16,33691.5
2023-10-17,33744.6
2023-10-18,33399.1
2023-10-19,34078.4
2023-10-20,35015.4
2023-10-23,37211.6
2023-10-24,40005.1
2023-10-25,41246.6
2023-10-26,40180.8
2023-10-27,39770.8
2023-10-30,40719.6
2023-10-31,40883.5
2023-11-01,40953.8
2023-11-02,41346.2
2023-11-03,40766.4
2023-11-06,41369.6
2023-11-07,42335.9
2023-11-08,42043.1
2023-11-09,43109.0
2023-11-10,43987.4
2023-11-13,43237.8
2023-11-14,41422.3
2023-11-15,44313.7
2023-11-16,42272.4
2023-11-17,42920.1
2023-11-20,44296.4
2023-11-21,43400.1
2023-11-22,44331.1
2023-11-24,44614.4
2023-11-27,43035.7
2023-11-28,44973.0
2023-11-29,44024.6
2023-11-30,44169.2
2023-12-01,45366.2
2023-12-04,48899.5
2023-12-05,51224.2
2023-12-06,51137.5
2023-12-07,50541.8
2023-12-08,51941.3
2023-12-11,47459.6
2023-12-12,47945.4
2023-12-13,49975.1
2023-12-14,49894.2
2023-12-15,49084.6
2023-12-18,48697.1
2023-12-19,48992.0
2023-12-20,50561.9
2023-12-21,50801.7
2023-12-22,50727.5
2023-12-26,48843.6
2023-12-27,50476.3
2023-12-28,49220.4
2023-12-29,48506.8
2024-01-02,51755.1
2024-01-03,49186.1
2024-01-04,50955.8
2024-01-05,50676.1
2024-01-08,54010.0
2024-01-09,53713.1
